year,sig
2014,0.29169989292164
2015,0.45965168925318284
2016,0.21302289073457428
2017,0.16227810315615518
2018,0.3070506555726446
2019,0.16586709004580602
2020,0.17943985761860473
2021,0.2639333065700675
2022,0.2020074055609857
2023,0.2548203626356515
2024,0.2574439767513325
