year,bs_price
2015,24377478809.304657
2016,4792955978.001713
2017,29826592245.104683
2018,9852309764.190063
2019,24982241622.08879
2020,26152146814.84049
2021,47787443531.49748
2022,10939256271.402485
2023,49734280143.16819
2024,37692318652.27459
