bs_price,F100901A
24377478809.304657,4.462171
4792955978.001713,3.413554
29826592245.104683,5.793561
9852309764.190063,3.466025
24982241622.08879,3.683191
26152146814.84049,3.858995
47787443531.49748,3.985343
10939256271.402485,2.649415
49734280143.16819,3.205325
37692318652.27459,3.122915
