year,bs_price
2015,355276005213.0119
2016,239913212255.3506
2017,331696730513.90265
2018,226002607831.04675
2019,230741430535.7484
2020,19000805830.448944
2021,9112540624.97712
2022,9258924049.115082
2023,122423423741.50555
2024,384230095331.84607
