year,bs_price
2015,80561080977.17566
2016,31519037036.92775
2017,7537648034.248806
2018,2607685604.4444065
2019,1661254160.3594847
2020,242662006252.52844
2021,288721340629.9643
2022,125132790980.06448
2023,27542578744.8358
2024,127349214176.34732
