year,bs_price
1,2669719124.148264
2,32056534326.101257
3,23524177338.944878
4,1981666910.0660744
5,72800005.58157015
6,178889576.7517619
7,132901583301.54788
8,147316942986.99707
9,44814636278.23532
10,21906862614.13739
11,79509382905.34875
